benchmark,benchmark_label,method,models,n,accuracy,parse_rate,mean_completion_tokens,mean_total_tokens
bfcl,BFCL v3,raw,5,75,0.6266666666666667,1.0,54.413333333333334,187.22666666666666
bfcl,BFCL v3,raw CoT,5,75,0.6266666666666667,1.0,119.58666666666667,274.4
bfcl,BFCL v3,SoT,5,75,0.5733333333333334,1.0,113.61333333333333,273.62666666666667
bfcl,BFCL v3,CoD,5,75,0.5066666666666667,1.0,98.88,252.09333333333333
bfcl,BFCL v3,MDia,5,75,0.5733333333333334,1.0,76.68,262.49333333333334
livecodebench_output,LiveCodeBench-output,raw,5,40,0.125,0.725,75.075,462.775
livecodebench_output,LiveCodeBench-output,raw CoT,5,40,0.15,0.3,314.6,733.7
livecodebench_output,LiveCodeBench-output,SoT,5,40,0.15,0.75,194.9,619.2
livecodebench_output,LiveCodeBench-output,CoD,5,40,0.2,0.5,209.1,626.6
livecodebench_output,LiveCodeBench-output,MDia,5,40,0.15,0.8,160.325,604.625
multihop_rag,MultiHopRAG,raw,5,60,0.8166666666666667,1.0,11.216666666666667,232.11666666666667
multihop_rag,MultiHopRAG,raw CoT,5,60,0.9,1.0,98.75,351.05
multihop_rag,MultiHopRAG,SoT,5,60,0.8333333333333334,1.0,91.03333333333333,348.53333333333336
multihop_rag,MultiHopRAG,CoD,5,60,0.9,1.0,65.93333333333334,316.6333333333333
multihop_rag,MultiHopRAG,MDia,5,60,0.8833333333333333,1.0,70.53333333333333,349.6333333333333
musr,MuSR,raw,5,60,0.4666666666666667,0.8166666666666667,51.083333333333336,1094.3833333333334
musr,MuSR,raw CoT,5,60,0.5166666666666667,0.9166666666666666,177.98333333333332,1242.2833333333333
musr,MuSR,SoT,5,60,0.5,0.7666666666666667,174.41666666666666,1243.9166666666667
musr,MuSR,CoD,5,60,0.4666666666666667,0.8666666666666667,136.73333333333332,1199.4333333333334
musr,MuSR,MDia,5,60,0.45,0.75,186.33333333333334,1294.65
